row_index,url,reason,http_status
12099,,no_url,
12101,,no_url,
12102,,no_url,
12104,,no_url,
12105,,no_url,
12106,,no_url,
12107,,no_url,
12108,,no_url,
12110,http://www.st-marys.bathnes.sch.uk,http_403,403
12119,,no_url,
12120,,no_url,
12121,,no_url,
12122,,no_url,
12123,,no_url,
12124,,no_url,
12125,,no_url,
12126,,no_url,
12127,,no_url,
12128,,no_url,
12129,,no_url,
12130,,no_url,
12131,,no_url,
12132,,no_url,
12133,,no_url,
12134,,no_url,
12135,,no_url,
12136,,no_url,
12137,,no_url,
12138,,no_url,
12139,,no_url,
12140,,no_url,
12141,,no_url,
